               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12865,             0.02236,            0.039578,           0.0065972,            0.096497,           0.0035192,          0.00079774,            0.099241,            0.017929,            0.038493,            0.003287,            0.003287,            0.070417
                   1,             0.11461,            0.026172,            0.031443,            0.038351,            0.077514,            0.011445,           0.0022961,            0.089753,            0.018125,             0.04522,           0.0065876,           0.0065876,            0.040384
                   2,              0.1083,            0.028018,            0.023589,             0.35892,            0.062147,              0.0167,           0.0040958,            0.085179,            0.017167,            0.051488,           0.0098552,           0.0098552,            0.010318
                   3,              0.1048,            0.027604,            0.018845,            0.026984,             0.24181,            0.020985,           0.0049174,            0.081875,            0.017661,            0.069761,           0.0098515,           0.0098515,           0.0098515
                   4,             0.10209,            0.028524,            0.017867,            0.044974,            0.056497,            0.017498,           0.0045127,            0.082318,            0.017668,            0.078998,           0.0098515,           0.0098515,           0.0098515
                   5,            0.099087,            0.028205,            0.013931,            0.070538,            0.056497,            0.027645,           0.0070173,            0.078247,             0.01743,            0.075373,            0.009802,            0.009802,            0.009802
                   6,            0.095806,            0.026729,            0.013006,            0.070651,             0.13559,            0.053118,            0.012304,            0.074422,            0.018039,              0.0627,           0.0097525,           0.0097525,           0.0097525
                   7,             0.09787,            0.028546,            0.011991,            0.081559,            0.096045,             0.05133,            0.015476,            0.073203,            0.020222,             0.05016,            0.009703,            0.009703,            0.009703
                   8,            0.091646,            0.029758,             0.01133,            0.045278,            0.033898,             0.01663,           0.0048224,            0.075539,            0.018881,            0.053869,           0.0096535,           0.0096535,           0.0096535
                   9,            0.093808,            0.031031,           0.0092869,            0.074214,            0.062147,            0.029741,           0.0066132,            0.076478,            0.018433,            0.061812,            0.009604,            0.009604,            0.009604
                  10,            0.096358,            0.030204,           0.0083218,             0.12549,            0.062147,            0.056162,            0.020092,            0.072436,            0.019493,            0.056932,           0.0095545,           0.0095545,           0.0095545
                  11,            0.093546,            0.031961,           0.0091922,             0.11925,            0.072405,            0.066865,            0.031353,             0.06876,            0.019399,            0.068274,            0.009505,            0.009505,            0.009505
                  12,            0.088467,            0.029202,            0.007313,             0.10585,            0.090395,            0.060953,            0.017945,            0.072561,            0.019063,            0.057705,           0.0094555,           0.0094555,           0.0094555
                  13,            0.089514,            0.029737,           0.0075173,             0.14978,             0.10143,            0.095365,            0.031488,            0.070313,            0.019319,            0.073092,            0.009406,            0.009406,            0.009406
                  14,            0.083966,            0.028428,           0.0088132,             0.15686,            0.090391,            0.084097,            0.033561,            0.068888,            0.019754,            0.067664,           0.0093565,           0.0093565,           0.0093565
                  15,            0.084976,            0.028369,           0.0065883,            0.087672,            0.096045,            0.063376,            0.024313,            0.068718,              0.0196,            0.078047,            0.009307,            0.009307,            0.009307
                  16,            0.078687,            0.027313,           0.0061651,             0.19513,             0.12994,             0.11805,            0.041184,            0.068533,            0.020059,            0.066256,           0.0092575,           0.0092575,           0.0092575
                  17,              0.0853,            0.030832,           0.0061465,             0.07683,             0.10169,            0.059095,            0.019136,            0.068859,            0.019246,            0.066325,            0.009208,            0.009208,            0.009208
                  18,            0.083426,            0.028557,           0.0062486,            0.099768,             0.11864,            0.065843,            0.019687,             0.06822,            0.019262,            0.072716,           0.0091585,           0.0091585,           0.0091585
                  19,            0.084658,            0.028939,           0.0055988,            0.059963,             0.11299,            0.047714,            0.022762,             0.06619,            0.020434,            0.072714,            0.009109,            0.009109,            0.009109
                  20,            0.078314,            0.025678,           0.0056929,             0.14518,            0.096045,            0.085797,            0.037954,            0.069489,            0.018816,             0.08097,           0.0090595,           0.0090595,           0.0090595
                  21,            0.084738,            0.028364,            0.005145,            0.066296,            0.073446,            0.048566,            0.025094,             0.06811,            0.019493,            0.089643,             0.00901,             0.00901,             0.00901
                  22,            0.081671,            0.028297,           0.0052786,             0.06323,            0.073446,            0.048118,            0.013543,            0.071816,            0.022092,            0.089413,           0.0089605,           0.0089605,           0.0089605
                  23,            0.081247,            0.026105,           0.0054924,             0.22875,            0.062147,            0.079439,            0.036396,            0.067237,            0.019522,            0.076437,            0.008911,            0.008911,            0.008911
                  24,            0.081461,            0.028945,            0.005451,              0.1607,            0.079096,            0.089739,            0.038708,            0.065203,            0.019229,            0.080998,           0.0088615,           0.0088615,           0.0088615
                  25,            0.081468,             0.02836,           0.0040799,             0.18811,            0.073446,            0.080612,            0.026488,             0.06827,            0.018983,            0.070063,            0.008812,            0.008812,            0.008812
                  26,            0.078554,            0.027337,           0.0049654,             0.27985,            0.090395,             0.11646,            0.042463,            0.066748,            0.018722,            0.080669,           0.0087625,           0.0087625,           0.0087625
                  27,            0.080348,             0.02837,           0.0042773,             0.14535,            0.079096,            0.069735,            0.028101,            0.066159,             0.01979,            0.078174,            0.008713,            0.008713,            0.008713
                  28,            0.079561,             0.02891,           0.0033187,             0.18096,             0.10169,             0.10468,            0.036017,            0.066643,             0.01876,            0.088467,           0.0086635,           0.0086635,           0.0086635
                  29,            0.079525,            0.027876,           0.0044855,             0.16661,            0.090337,             0.07156,             0.03395,            0.066066,            0.019822,            0.072549,            0.008614,            0.008614,            0.008614
                  30,            0.075618,             0.02802,           0.0034606,             0.19693,            0.073446,            0.078819,            0.031226,            0.067881,            0.018218,            0.082099,           0.0085645,           0.0085645,           0.0085645
                  31,            0.077991,            0.028689,           0.0041095,             0.10725,             0.10734,            0.087669,            0.037006,            0.065284,              0.0181,              0.0828,            0.008515,            0.008515,            0.008515
                  32,            0.076422,             0.02701,           0.0038753,             0.21289,            0.090395,            0.085889,            0.037491,            0.065472,            0.019227,             0.08047,           0.0084655,           0.0084655,           0.0084655
                  33,             0.07359,            0.025677,           0.0033381,             0.20981,            0.079096,            0.072882,            0.029315,            0.068651,             0.01869,            0.082619,            0.008416,            0.008416,            0.008416
                  34,            0.075809,            0.029018,           0.0028484,             0.12179,            0.084746,            0.073686,            0.032902,            0.070575,            0.019439,            0.089766,           0.0083665,           0.0083665,           0.0083665
                  35,            0.077209,             0.02738,           0.0032817,            0.076469,            0.079096,            0.063062,            0.024543,            0.070494,            0.018205,            0.095959,            0.008317,            0.008317,            0.008317
                  36,            0.072773,            0.026011,            0.003663,             0.16656,            0.084746,            0.088431,            0.044785,            0.070269,            0.018265,            0.078256,           0.0082675,           0.0082675,           0.0082675
                  37,            0.077106,            0.027687,           0.0026992,              0.1859,             0.10734,             0.10566,            0.052351,            0.068037,            0.018109,            0.084646,            0.008218,            0.008218,            0.008218
                  38,            0.073177,            0.026259,           0.0030431,             0.16471,             0.10734,            0.096865,            0.051514,            0.063729,              0.0189,            0.079494,           0.0081685,           0.0081685,           0.0081685
                  39,            0.074733,            0.025748,           0.0026894,              0.1489,              0.1186,             0.11189,            0.052427,            0.064462,            0.018569,            0.077178,            0.008119,            0.008119,            0.008119
                  40,            0.073132,            0.026541,           0.0027541,             0.12987,            0.090395,            0.076302,            0.033761,            0.065299,            0.018102,            0.078378,           0.0080695,           0.0080695,           0.0080695
                  41,            0.073833,            0.024285,           0.0033782,              0.1866,            0.079035,            0.090402,            0.036517,            0.064378,            0.018809,            0.072212,             0.00802,             0.00802,             0.00802
                  42,            0.072519,            0.026341,           0.0030988,              0.1163,             0.11864,            0.084582,            0.038575,            0.065383,            0.018306,            0.092056,           0.0079705,           0.0079705,           0.0079705
                  43,            0.075578,            0.029068,            0.003751,            0.041591,            0.073446,            0.034561,            0.016158,            0.068696,            0.019114,             0.10166,            0.007921,            0.007921,            0.007921
                  44,            0.072702,            0.027109,            0.002988,             0.15662,            0.090135,            0.084146,            0.042088,             0.06824,            0.019076,            0.083493,           0.0078715,           0.0078715,           0.0078715
                  45,            0.074085,             0.02676,            0.003429,            0.097992,            0.045198,            0.034002,            0.020797,              0.0695,            0.019091,            0.097402,            0.007822,            0.007822,            0.007822
                  46,            0.071687,            0.026358,           0.0032558,              0.1387,            0.084746,            0.060691,            0.031986,            0.068604,            0.019673,             0.09068,           0.0077725,           0.0077725,           0.0077725
                  47,            0.074201,            0.028039,           0.0026251,             0.09975,            0.067561,             0.04088,            0.018776,            0.069144,            0.019896,            0.091286,            0.007723,            0.007723,            0.007723
                  48,            0.069742,            0.026618,           0.0027314,             0.11026,            0.084746,            0.061865,             0.02783,            0.068898,            0.020158,              0.1025,           0.0076735,           0.0076735,           0.0076735
                  49,            0.071296,            0.025275,           0.0031951,            0.089549,            0.073446,            0.049722,            0.024923,            0.064482,            0.019693,            0.085099,            0.007624,            0.007624,            0.007624
                  50,            0.069749,            0.025927,           0.0028103,             0.13803,            0.095836,            0.076341,            0.034208,            0.065264,            0.019557,            0.088491,           0.0075745,           0.0075745,           0.0075745
                  51,            0.073979,            0.025629,           0.0028182,             0.17577,             0.10734,            0.089782,            0.040487,             0.06471,            0.019095,            0.092759,            0.007525,            0.007525,            0.007525
                  52,            0.071945,             0.02657,           0.0032318,              0.1398,             0.11836,             0.08971,            0.037753,            0.066139,            0.019201,            0.086455,           0.0074755,           0.0074755,           0.0074755
                  53,            0.071462,             0.02597,           0.0022499,              0.2072,            0.056497,            0.058738,            0.027508,            0.066848,            0.021199,            0.074663,            0.007426,            0.007426,            0.007426
                  54,             0.06829,            0.025565,           0.0028466,             0.13749,            0.095209,            0.076361,            0.038195,            0.065397,             0.01986,            0.081949,           0.0073765,           0.0073765,           0.0073765
                  55,            0.068716,            0.025008,           0.0025324,             0.12958,            0.079045,             0.06189,            0.024054,            0.066267,            0.019375,            0.085627,            0.007327,            0.007327,            0.007327
                  56,             0.06836,            0.026054,           0.0018479,             0.15623,            0.084731,            0.080274,            0.032623,            0.064574,            0.019218,            0.086847,           0.0072775,           0.0072775,           0.0072775
                  57,            0.071756,            0.025478,            0.002252,              0.1566,            0.090395,            0.084586,            0.037223,             0.06407,             0.01941,             0.08785,            0.007228,            0.007228,            0.007228
                  58,            0.067262,            0.025565,            0.002434,             0.11842,             0.12994,             0.10322,             0.04681,            0.066227,            0.018871,            0.085999,           0.0071785,           0.0071785,           0.0071785
