               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.127,            0.037704,            0.040978,           0.0078557,            0.096949,           0.0049056,          0.00079562,             0.11012,            0.027399,            0.040634,              0.0017,              0.0017,              0.0847
                   1,             0.11646,            0.038722,            0.033826,           0.0089985,             0.17243,             0.00511,          0.00079554,             0.10191,            0.026054,            0.046505,           0.0034827,           0.0034827,            0.068483
                   2,             0.10778,            0.042639,            0.023568,            0.011061,            0.056497,           0.0067484,           0.0013059,            0.099215,             0.02453,            0.067102,           0.0052475,           0.0052475,            0.052248
                   3,             0.10179,            0.041988,            0.016411,            0.037042,            0.028249,           0.0083758,           0.0012855,            0.098775,            0.024854,            0.068695,           0.0069946,           0.0069946,            0.035995
                   4,            0.097555,            0.042213,            0.012995,           0.0083616,            0.028249,           0.0017091,          0.00044067,             0.11316,            0.020807,            0.080257,           0.0087238,           0.0087238,            0.019724
                   5,              0.1002,            0.038326,           0.0089453,             0.78666,            0.022599,            0.014473,           0.0021343,            0.099674,            0.029329,            0.065536,           0.0097525,           0.0097525,           0.0097525
                   6,            0.095575,            0.035157,           0.0085891,            0.011206,            0.056497,           0.0050556,           0.0012632,             0.09906,            0.022721,            0.091959,           0.0097525,           0.0097525,           0.0097525
                   7,            0.090997,            0.036438,           0.0075142,            0.017117,            0.096045,            0.015071,           0.0036112,            0.091756,            0.041154,             0.10037,            0.009703,            0.009703,            0.009703
                   8,            0.087822,             0.03749,           0.0059156,            0.033804,            0.039548,           0.0089687,           0.0018884,            0.085346,            0.023805,             0.08807,           0.0096535,           0.0096535,           0.0096535
                   9,            0.085692,            0.040183,           0.0053692,            0.026036,             0.11299,            0.032449,           0.0095132,             0.08128,            0.027706,            0.088215,            0.009604,            0.009604,            0.009604
                  10,            0.085191,            0.038599,           0.0052569,             0.38526,            0.067797,             0.03392,             0.01556,            0.082005,            0.025907,            0.087352,           0.0095545,           0.0095545,           0.0095545
                  11,            0.081481,            0.040373,           0.0044733,            0.081307,             0.11299,            0.056532,            0.023519,            0.077031,            0.024115,             0.10804,            0.009505,            0.009505,            0.009505
                  12,            0.080243,            0.033955,           0.0038456,            0.065963,             0.10169,             0.03083,           0.0098128,            0.084338,            0.022011,             0.10483,           0.0094555,           0.0094555,           0.0094555
                  13,            0.079564,            0.034979,            0.003606,             0.20861,            0.096045,              0.1029,            0.045478,            0.079735,            0.021636,            0.095536,            0.009406,            0.009406,            0.009406
                  14,            0.078471,            0.033688,           0.0030275,             0.12725,             0.12908,            0.085599,            0.026743,             0.07666,            0.022058,             0.10138,           0.0093565,           0.0093565,           0.0093565
                  15,            0.073668,            0.032111,           0.0033389,            0.026539,            0.062147,            0.019023,           0.0073042,            0.075918,            0.022779,             0.11659,            0.009307,            0.009307,            0.009307
                  16,             0.07368,            0.031737,            0.003173,              0.0636,            0.073446,            0.038512,            0.019317,            0.073284,            0.027904,            0.090858,           0.0092575,           0.0092575,           0.0092575
                  17,            0.073677,            0.037775,           0.0031564,             0.13478,            0.084746,            0.071095,            0.024717,            0.075434,            0.024398,             0.10973,            0.009208,            0.009208,            0.009208
                  18,            0.073443,            0.035777,           0.0027995,             0.08627,             0.10169,            0.057049,            0.022811,            0.073275,            0.024528,             0.09957,           0.0091585,           0.0091585,           0.0091585
                  19,            0.072593,            0.034601,           0.0024873,             0.13324,            0.079096,            0.069043,            0.024964,            0.074749,            0.023558,             0.10089,            0.009109,            0.009109,            0.009109
                  20,             0.07054,            0.030534,           0.0023905,            0.091983,             0.11864,            0.076083,            0.031284,            0.072342,            0.022921,             0.10813,           0.0090595,           0.0090595,           0.0090595
                  21,             0.07074,            0.032935,           0.0019751,            0.077256,            0.096045,            0.042271,             0.01767,            0.075441,            0.024125,             0.10861,             0.00901,             0.00901,             0.00901
                  22,            0.069191,            0.032387,           0.0020402,            0.091483,             0.12429,            0.070161,            0.022899,            0.075759,            0.023885,             0.10747,           0.0089605,           0.0089605,           0.0089605
                  23,            0.070962,            0.031678,           0.0021314,            0.077042,              0.1121,            0.059679,            0.021389,             0.07797,            0.024147,             0.11551,            0.008911,            0.008911,            0.008911
                  24,            0.068661,            0.033915,           0.0024091,             0.10737,             0.12349,            0.093564,            0.040584,            0.073346,            0.024363,             0.10223,           0.0088615,           0.0088615,           0.0088615
                  25,             0.06614,            0.032117,           0.0015824,             0.13671,            0.090395,            0.063566,            0.028109,            0.076438,            0.023062,             0.10993,            0.008812,            0.008812,            0.008812
                  26,            0.067631,             0.03105,           0.0016527,              0.1666,             0.11299,            0.098628,             0.04161,            0.081172,            0.023481,             0.11436,           0.0087625,           0.0087625,           0.0087625
                  27,            0.065481,            0.032933,           0.0018089,             0.10689,            0.096045,            0.079753,            0.029908,            0.074609,            0.024985,             0.10453,            0.008713,            0.008713,            0.008713
                  28,            0.067195,            0.034293,           0.0016974,             0.13189,             0.10734,            0.081444,            0.031941,            0.075715,            0.025366,             0.10585,           0.0086635,           0.0086635,           0.0086635
                  29,            0.065853,            0.032099,           0.0021506,             0.14881,             0.11864,             0.10092,            0.043321,            0.075883,            0.026772,             0.10838,            0.008614,            0.008614,            0.008614
                  30,            0.062908,            0.033256,           0.0020161,             0.11684,             0.13559,             0.10715,            0.039108,            0.074314,            0.025472,             0.10584,           0.0085645,           0.0085645,           0.0085645
                  31,            0.064583,            0.033806,           0.0019605,             0.12687,            0.090395,            0.078986,            0.029586,            0.075745,             0.02413,             0.10753,            0.008515,            0.008515,            0.008515
                  32,            0.065958,            0.031032,           0.0019782,              0.0913,            0.078859,            0.047567,            0.019917,            0.076089,              0.0264,             0.10582,           0.0084655,           0.0084655,           0.0084655
                  33,             0.06252,            0.029323,           0.0017671,              0.1841,             0.11864,             0.12481,            0.045002,            0.072202,            0.024269,             0.10424,            0.008416,            0.008416,            0.008416
                  34,            0.063476,            0.033205,           0.0014346,             0.13667,            0.090309,             0.07532,            0.031695,            0.073212,            0.025995,             0.11738,           0.0083665,           0.0083665,           0.0083665
                  35,            0.064918,            0.032725,           0.0016977,             0.12238,             0.10169,            0.076909,            0.031334,            0.073519,            0.024889,             0.11108,            0.008317,            0.008317,            0.008317
                  36,             0.06269,            0.029573,           0.0016255,             0.14445,            0.056497,            0.048468,            0.019875,             0.07437,            0.025524,             0.11725,           0.0082675,           0.0082675,           0.0082675
                  37,            0.062318,            0.032875,           0.0013678,             0.14462,             0.12989,             0.11688,            0.047727,            0.071218,            0.023861,              0.1219,            0.008218,            0.008218,            0.008218
                  38,            0.060718,            0.029783,           0.0015091,             0.13718,             0.11864,             0.10011,            0.044161,            0.072366,            0.024574,             0.11496,           0.0081685,           0.0081685,           0.0081685
                  39,             0.05926,             0.02915,           0.0014359,             0.18165,             0.13559,             0.12731,            0.058559,            0.072187,            0.024313,              0.1251,            0.008119,            0.008119,            0.008119
                  40,             0.06019,            0.030704,           0.0013517,             0.14285,             0.13559,             0.11347,            0.043768,            0.070215,             0.02511,             0.11575,           0.0080695,           0.0080695,           0.0080695
                  41,            0.059783,            0.028467,           0.0013204,             0.10413,            0.084746,            0.055237,            0.030719,             0.07497,            0.025162,             0.11544,             0.00802,             0.00802,             0.00802
                  42,            0.059612,            0.030346,           0.0014088,             0.16207,             0.10694,            0.088978,            0.038534,            0.074141,            0.025051,             0.12092,           0.0079705,           0.0079705,           0.0079705
                  43,            0.059344,            0.032557,           0.0012678,             0.11901,             0.10734,            0.080086,            0.037284,            0.073031,            0.025952,             0.11981,            0.007921,            0.007921,            0.007921
                  44,            0.060659,            0.032957,           0.0013352,             0.15829,             0.10734,            0.099042,            0.046722,            0.071013,            0.025502,             0.12224,           0.0078715,           0.0078715,           0.0078715
                  45,            0.059985,            0.029476,           0.0013499,              0.2435,             0.12429,             0.13177,            0.062704,            0.071349,            0.025784,             0.12345,            0.007822,            0.007822,            0.007822
                  46,            0.056431,            0.028973,           0.0015397,             0.16655,            0.073446,            0.068786,            0.032164,            0.073785,             0.02627,             0.12693,           0.0077725,           0.0077725,           0.0077725
                  47,            0.059111,            0.031773,           0.0013046,             0.14543,             0.11864,             0.10313,            0.048012,            0.069303,            0.024621,             0.12757,            0.007723,            0.007723,            0.007723
                  48,            0.057795,             0.02844,           0.0015904,             0.22579,             0.11861,             0.13329,             0.05506,            0.068984,             0.02489,             0.11618,           0.0076735,           0.0076735,           0.0076735
                  49,            0.058939,            0.028151,           0.0013989,             0.19033,             0.11299,             0.10754,            0.047389,            0.070859,            0.026601,             0.11478,            0.007624,            0.007624,            0.007624
                  50,            0.058098,            0.028234,           0.0015866,              0.1866,             0.07903,            0.095005,             0.03948,             0.07252,            0.026901,             0.11917,           0.0075745,           0.0075745,           0.0075745
                  51,            0.057558,            0.027899,           0.0011101,             0.14258,            0.084746,            0.085253,            0.038826,            0.070827,            0.027076,             0.11838,            0.007525,            0.007525,            0.007525
                  52,            0.057841,            0.029009,           0.0013088,             0.12724,             0.11864,            0.092393,            0.044017,            0.071945,            0.025348,             0.11956,           0.0074755,           0.0074755,           0.0074755
                  53,            0.056768,            0.027622,           0.0013402,             0.10882,             0.10132,             0.07121,            0.033904,             0.07026,            0.026516,             0.11563,            0.007426,            0.007426,            0.007426
                  54,            0.055875,             0.02788,            0.001434,             0.12271,             0.11864,            0.086973,            0.041275,             0.06878,            0.026473,             0.11909,           0.0073765,           0.0073765,           0.0073765
                  55,            0.054795,            0.027191,            0.001248,             0.13065,             0.11299,            0.090332,            0.040344,            0.067695,            0.025478,             0.12241,            0.007327,            0.007327,            0.007327
                  56,            0.055792,            0.029055,           0.0011037,             0.11691,             0.11299,            0.084514,            0.038969,             0.06895,            0.025107,             0.12542,           0.0072775,           0.0072775,           0.0072775
                  57,             0.05794,             0.02836,           0.0010212,             0.17165,            0.096045,            0.089953,            0.035966,            0.068568,            0.024691,             0.12711,            0.007228,            0.007228,            0.007228
                  58,            0.057971,            0.028663,           0.0009403,            0.094358,             0.10734,            0.083583,            0.031259,            0.069179,             0.02476,             0.12718,           0.0071785,           0.0071785,           0.0071785
                  59,            0.054006,            0.027825,           0.0011764,              0.1166,             0.11864,            0.089413,            0.035096,            0.070612,            0.025493,             0.12222,            0.007129,            0.007129,            0.007129
                  60,            0.056159,            0.026586,           0.0010695,             0.11077,            0.073446,            0.070879,            0.029321,            0.073516,            0.024959,             0.12575,           0.0070795,           0.0070795,           0.0070795
                  61,             0.05388,            0.027985,           0.0010399,              0.1363,             0.10161,              0.1042,            0.041981,             0.07089,            0.026075,              0.1273,             0.00703,             0.00703,             0.00703
