               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12442,             0.02867,                   0,                   0,                   0,                   0,                   0,             0.11466,             0.02945,                   0,              0.0023,              0.0023,              0.0793
                   1,             0.11041,             0.02262,                   0,            0.024612,            0.079861,           0.0087458,           0.0013672,            0.095509,            0.028318,                   0,           0.0046767,           0.0046767,            0.057677
                   2,            0.096991,            0.020191,                   0,           0.0099665,             0.27083,            0.008493,           0.0017312,            0.086608,            0.028799,                   0,           0.0070297,           0.0070297,             0.03603
                   3,            0.090566,            0.019435,                   0,           0.0018877,             0.23958,           0.0011816,          0.00029043,             0.12287,            0.016041,                   0,           0.0093589,           0.0093589,            0.014359
                   4,              0.0839,            0.020704,                   0,             0.14258,             0.21875,             0.08434,            0.013654,            0.093197,            0.023894,                   0,            0.009802,            0.009802,            0.009802
                   5,             0.07503,            0.019485,                   0,             0.35308,             0.40935,              0.2876,            0.071496,            0.077557,            0.028575,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.067876,            0.018284,                   0,             0.28206,               0.375,             0.22185,            0.054564,            0.073935,            0.024545,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.069432,            0.017648,                   0,             0.57809,             0.44097,             0.41868,             0.11879,             0.06577,            0.025918,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.065693,            0.017211,                   0,             0.65193,             0.50347,             0.51031,             0.12892,            0.067403,            0.028661,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.061469,            0.016982,                   0,             0.44302,             0.42708,             0.32168,            0.064173,             0.06914,            0.021792,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.063105,            0.014995,                   0,             0.70266,             0.54167,             0.61279,             0.22099,            0.059226,            0.021787,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.058543,            0.015133,                   0,             0.58906,             0.52759,             0.53888,             0.14851,            0.066583,            0.019583,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.057375,            0.014595,                   0,             0.84474,             0.66319,             0.75622,              0.3103,            0.055704,             0.01897,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.055702,            0.015181,                   0,             0.82407,             0.61805,             0.66983,             0.21687,            0.057582,            0.018657,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.057195,            0.015149,                   0,             0.85422,             0.65625,             0.70081,             0.26305,            0.054395,            0.021053,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.052731,            0.014068,                   0,             0.75687,              0.5625,              0.5722,              0.1333,             0.05628,            0.019775,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.054132,            0.013728,                   0,             0.81343,             0.62068,             0.67747,             0.23794,            0.052775,            0.020938,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.051869,            0.015512,                   0,             0.89415,             0.64583,             0.73952,             0.29085,            0.054036,            0.019015,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.052419,            0.013241,                   0,             0.83145,               0.625,             0.67598,             0.21588,             0.05563,            0.019375,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.052224,            0.013524,                   0,             0.90362,             0.68366,             0.79657,             0.31467,            0.050729,            0.018648,                   0,            0.009109,            0.009109,            0.009109
