               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11173,            0.033597,                   0,            0.028545,              0.0625,           0.0064217,           0.0011579,            0.091376,            0.034567,                   0,              0.0023,              0.0023,              0.0793
                   1,            0.090178,            0.027881,                   0,              0.1446,             0.19444,            0.062682,            0.014774,            0.074655,             0.02999,                   0,           0.0046767,           0.0046767,            0.057677
                   2,             0.08204,            0.025256,                   0,            0.039052,                0.25,            0.027446,           0.0068877,            0.070397,            0.028541,                   0,           0.0070297,           0.0070297,             0.03603
                   3,            0.074142,            0.025547,                   0,            0.043769,             0.27431,            0.030765,           0.0091665,            0.085933,            0.026907,                   0,           0.0093589,           0.0093589,            0.014359
                   4,            0.063954,            0.027455,                   0,             0.18768,             0.39236,              0.1874,            0.031096,            0.072909,            0.032735,                   0,            0.009802,            0.009802,            0.009802
                   5,            0.059211,            0.024499,                   0,             0.47894,             0.35764,             0.34721,             0.10823,            0.068425,            0.025227,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.057758,            0.023343,                   0,             0.63463,             0.54514,              0.5447,             0.16623,            0.053609,            0.035707,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.052337,            0.022739,                   0,             0.48338,             0.52431,             0.45897,             0.14861,            0.052547,            0.027368,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.048608,            0.020104,                   0,              0.9005,             0.56563,             0.72515,             0.34658,            0.046699,            0.025297,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,             0.04825,            0.020451,                   0,             0.80083,             0.67013,             0.73692,             0.24631,            0.045483,            0.021372,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.044063,            0.019973,                   0,             0.84246,             0.67361,             0.76115,             0.31921,            0.044111,            0.021107,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.045122,            0.018738,                   0,             0.83306,             0.72917,             0.79853,             0.42815,             0.03758,            0.019818,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.042021,            0.018216,                   0,             0.28483,             0.28125,             0.14569,            0.020146,             0.07817,            0.019556,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,             0.04193,             0.01784,                   0,             0.65468,             0.50689,             0.49959,             0.11302,            0.063825,            0.020141,                   0,            0.009406,            0.009406,            0.009406
