               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081164,            0.028167,                   0,                   0,                   0,                   0,                   0,            0.082915,            0.029232,                   0,              0.0007,              0.0007,              0.0937
                   1,            0.086954,            0.026577,                   0,                   0,                   0,                   0,                   0,            0.083612,            0.026864,                   0,           0.0014926,           0.0014926,            0.086493
                   2,            0.091308,            0.024484,                   0,                   0,                   0,                   0,                   0,            0.081464,            0.025989,                   0,           0.0022772,           0.0022772,            0.079277
                   3,             0.10254,             0.02308,                   0,          0.00021237,            0.027778,          0.00010754,          2.1507e-05,            0.079403,            0.024557,                   0,            0.003054,            0.003054,            0.072054
                   4,            0.081118,            0.020957,                   0,           0.0016513,            0.027778,          0.00014929,          4.4786e-05,            0.077957,            0.022873,                   0,           0.0038228,           0.0038228,            0.064823
                   5,            0.089087,            0.020229,                   0,                   0,                   0,                   0,                   0,            0.076762,            0.020958,                   0,           0.0045837,           0.0045837,            0.057584
                   6,            0.087758,            0.018109,                   0,                   0,                   0,                   0,                   0,            0.074419,            0.020241,                   0,           0.0053367,           0.0053367,            0.050337
                   7,            0.081496,            0.016426,                   0,           0.0002233,            0.027778,          0.00010753,          4.3012e-05,            0.072963,            0.019781,                   0,           0.0060817,           0.0060817,            0.043082
                   8,            0.083656,            0.016423,                   0,                   0,                   0,                   0,                   0,            0.073811,             0.01837,                   0,           0.0068188,           0.0068188,            0.035819
                   9,            0.077532,            0.015213,                   0,          0.00020833,            0.027778,          0.00010733,          1.0733e-05,            0.070951,            0.018789,                   0,           0.0075481,           0.0075481,            0.028548
                  10,            0.080175,            0.014497,                   0,                   0,                   0,                   0,                   0,            0.069074,            0.018811,                   0,           0.0082693,           0.0082693,            0.021269
                  11,            0.077708,            0.013535,                   0,           0.0018388,            0.027778,          0.00016404,          3.2808e-05,            0.068626,            0.018282,                   0,           0.0089827,           0.0089827,            0.013983
                  12,            0.071962,            0.012351,                   0,           0.0018388,            0.027778,          0.00016404,          3.2808e-05,            0.068626,            0.018282,                   0,            0.009406,            0.009406,            0.009406
                  13,            0.089019,            0.013606,                   0,                   0,                   0,                   0,                   0,            0.068153,            0.017659,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.086149,            0.013143,                   0,                   0,                   0,                   0,                   0,            0.066972,            0.017928,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.085565,            0.013385,                   0,                   0,                   0,                   0,                   0,            0.066749,            0.017708,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.085557,            0.012262,                   0,                   0,                   0,                   0,                   0,            0.066749,            0.017708,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.072315,             0.01283,                   0,                   0,                   0,                   0,                   0,            0.063653,            0.018961,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.082608,            0.014507,                   0,                   0,                   0,                   0,                   0,            0.061345,            0.019839,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.074665,            0.013671,                   0,                   0,                   0,                   0,                   0,             0.06097,            0.019645,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.070282,            0.012101,                   0,                   0,                   0,                   0,                   0,             0.06097,            0.019645,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.067589,            0.014596,                   0,                   0,                   0,                   0,                   0,            0.060992,            0.019363,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.082757,            0.011805,                   0,          0.00064144,            0.083333,          0.00035788,          0.00015256,            0.058403,            0.019965,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.068806,              0.0145,                   0,          0.00064144,            0.083333,          0.00035788,          0.00015256,            0.058403,            0.019965,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.074482,            0.014395,                   0,          0.00090192,             0.11111,          0.00050563,          0.00013655,            0.060325,            0.018919,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.077399,            0.013005,                   0,           0.0021124,             0.27778,           0.0014783,          0.00027041,             0.05828,            0.019154,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.078104,            0.014082,                   0,           0.0075747,             0.13889,           0.0059209,           0.0012276,             0.05616,            0.018855,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.065591,            0.013443,                   0,           0.0075747,             0.13889,           0.0059209,           0.0012276,             0.05616,            0.018855,                   0,            0.008713,            0.008713,            0.008713
                  28,             0.06955,            0.012908,                   0,            0.022286,             0.19444,            0.014966,           0.0047753,            0.054985,            0.018605,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.079408,            0.013579,                   0,            0.025446,             0.19444,            0.020718,           0.0035896,            0.053872,            0.018576,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.068358,            0.013848,                   0,            0.018862,             0.16667,            0.014642,            0.003302,            0.055931,            0.018062,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.068777,            0.014492,                   0,            0.018862,             0.16667,            0.014642,            0.003302,            0.055931,            0.018062,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.063732,            0.015478,                   0,            0.017852,             0.16667,            0.012343,           0.0022249,            0.055836,            0.018305,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.068046,            0.014691,                   0,            0.013083,             0.38889,            0.011163,           0.0021005,            0.053467,            0.019114,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.070353,            0.013928,                   0,            0.013083,             0.38889,            0.011163,           0.0021005,            0.053467,            0.019135,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.067646,             0.01485,                   0,            0.010878,             0.33333,           0.0077958,           0.0014531,            0.054209,            0.018822,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.062503,             0.01831,                   0,            0.019831,             0.52778,            0.016658,           0.0038782,            0.051825,            0.019465,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,             0.06863,            0.015505,                   0,            0.026063,             0.61111,            0.026131,           0.0070172,            0.047905,            0.020346,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.063703,            0.013595,                   0,            0.026063,             0.61111,            0.026131,           0.0070172,            0.047905,            0.020366,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.063772,             0.01384,                   0,            0.023864,             0.55556,            0.021175,             0.00532,            0.049431,            0.019726,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.058359,            0.017531,                   0,            0.045565,             0.47222,            0.036717,             0.01218,            0.047575,            0.020169,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.059111,            0.014271,                   0,            0.093281,            0.083333,            0.027571,           0.0049527,             0.05291,            0.018253,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.067807,             0.01399,                   0,            0.093281,            0.083333,            0.027571,           0.0049527,             0.05291,            0.018253,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.064962,            0.013241,                   0,            0.050871,            0.027778,            0.015505,           0.0038453,            0.054254,            0.017707,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.061271,            0.011246,                   0,            0.034386,            0.055556,             0.02061,           0.0052181,            0.050802,            0.018559,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,             0.05812,            0.013323,                   0,            0.034386,            0.055556,             0.02061,           0.0052181,            0.050802,            0.018559,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.063649,            0.015923,                   0,             0.12585,            0.083333,            0.033325,           0.0074862,            0.051071,            0.018291,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.067539,            0.017794,                   0,             0.12937,             0.11111,            0.046507,           0.0079951,            0.051233,            0.017911,                   0,            0.007723,            0.007723,            0.007723
                  48,             0.07818,             0.01338,                   0,            0.064809,             0.16667,            0.047308,            0.010438,            0.049104,            0.018487,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.063851,            0.013771,                   0,            0.064809,             0.16667,            0.047308,            0.010438,            0.049104,              0.0185,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.059733,            0.014042,                   0,             0.12045,                0.25,             0.10225,            0.017735,            0.048272,            0.018655,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.066962,            0.015857,                   0,             0.20597,             0.22222,             0.17929,            0.034736,            0.047115,            0.018653,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.058249,            0.016908,                   0,            0.089045,             0.22222,            0.077648,            0.020786,            0.048465,              0.0181,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.061314,            0.017412,                   0,            0.089045,             0.22222,            0.077648,            0.020786,            0.048465,              0.0181,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.055025,            0.013514,                   0,             0.13548,             0.16667,            0.081542,            0.020951,            0.048496,            0.018102,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.053989,            0.014882,                   0,             0.16578,                0.25,             0.11792,            0.026237,            0.046394,            0.018479,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.059766,            0.016018,                   0,             0.16578,                0.25,             0.11792,            0.026237,            0.046394,            0.018479,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.062432,            0.014664,                   0,             0.19579,             0.33333,             0.15437,            0.036199,            0.045074,            0.018784,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.052034,            0.014615,                   0,             0.31255,             0.27778,              0.2013,            0.054486,            0.043913,            0.019046,                   0,           0.0071785,           0.0071785,           0.0071785
