               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093147,            0.022904,                   0,                   0,                   0,                   0,                   0,            0.074447,            0.017861,                   0,            0.003287,            0.003287,            0.070417
                   1,             0.08235,            0.015294,                   0,          3.7912e-05,           0.0045455,           1.507e-05,           4.521e-06,            0.068183,            0.015244,                   0,           0.0065985,           0.0065985,            0.040395
                   2,            0.071771,            0.015116,                   0,           0.0021592,                0.15,           0.0011658,          0.00029885,            0.060077,            0.016173,                   0,            0.009888,            0.009888,            0.010351
                   3,            0.070299,            0.015591,                   0,            0.082361,             0.28636,            0.053074,            0.011698,             0.05187,            0.016821,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.061254,             0.01636,                   0,             0.23331,                 0.2,             0.11096,            0.027511,            0.049375,            0.016408,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.060333,            0.015316,                   0,             0.19703,             0.27727,             0.12689,            0.025317,            0.045896,            0.015986,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.057372,            0.014626,                   0,             0.55116,             0.37727,              0.3713,            0.094082,            0.044817,            0.014011,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.055226,            0.013913,                   0,             0.44379,             0.48636,             0.36216,            0.083115,            0.043175,             0.01367,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.057731,            0.014498,                   0,             0.39771,             0.36364,             0.28448,            0.063314,            0.042668,            0.013443,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.054736,            0.014223,                   0,             0.52303,                0.35,             0.29012,            0.067212,            0.043363,             0.01322,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.053119,            0.012765,                   0,             0.45395,             0.40434,             0.35254,            0.078078,            0.041356,            0.012704,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.052325,            0.013211,                   0,             0.36899,             0.40455,             0.30858,            0.067862,            0.040959,            0.012708,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.051598,            0.011992,                   0,             0.50443,             0.45455,             0.41376,             0.11476,            0.041237,            0.012462,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.053099,            0.012852,                   0,             0.51711,             0.48636,             0.41589,             0.11846,            0.042348,            0.012256,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.056543,            0.012375,                   0,             0.47271,             0.47269,             0.36811,            0.093218,            0.041332,            0.012756,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.050978,            0.012925,                   0,             0.49995,             0.48636,             0.41945,             0.12911,            0.040163,            0.011983,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.049545,            0.012316,                   0,             0.59562,             0.49544,             0.48976,             0.14283,            0.040156,            0.012343,                   0,            0.009505,            0.009505,            0.009505
                  17,             0.05096,            0.012898,                   0,             0.66443,             0.49091,             0.51172,             0.14641,            0.040366,            0.011858,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.049228,            0.013086,                   0,             0.52886,             0.45455,             0.42664,             0.11828,            0.039797,            0.011425,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.051383,            0.012439,                   0,             0.61374,                0.55,             0.47164,             0.14705,            0.039922,            0.011466,                   0,            0.009406,            0.009406,            0.009406
                  20,             0.04994,            0.012597,                   0,             0.55736,             0.57727,             0.47258,             0.13811,            0.038371,            0.011294,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.049848,            0.011886,                   0,             0.53381,             0.43636,             0.40278,             0.10594,            0.042039,            0.011138,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.052299,             0.01251,                   0,             0.59815,             0.46818,             0.44628,             0.14692,            0.038484,            0.011324,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.051252,            0.012515,                   0,             0.63577,             0.56364,             0.53986,             0.16286,            0.038559,            0.011095,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.047625,            0.012712,                   0,             0.68744,             0.53182,             0.55148,             0.16956,            0.039208,             0.01085,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.051968,            0.012638,                   0,             0.61182,             0.60455,             0.54906,             0.18813,            0.036779,            0.010953,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.049363,            0.012425,                   0,             0.70757,              0.5499,             0.55217,             0.18307,            0.038324,            0.010881,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.047487,            0.012656,                   0,             0.63983,             0.52727,             0.49599,             0.13341,            0.039367,            0.010692,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.046634,            0.011871,                   0,             0.64014,             0.59091,             0.55723,             0.13914,            0.041301,            0.010591,                   0,            0.009109,            0.009109,            0.009109
                  29,             0.04927,            0.012285,                   0,             0.64538,             0.55455,             0.51793,             0.13298,            0.042457,            0.010185,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.051403,            0.012135,                   0,             0.61456,             0.50909,              0.4826,             0.14049,            0.037785,            0.010957,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.047973,            0.011689,                   0,             0.60562,             0.57273,             0.48953,             0.14387,            0.038504,            0.010508,                   0,             0.00901,             0.00901,             0.00901
