               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081258,            0.028176,                   0,                   0,                   0,                   0,                   0,            0.084226,            0.028811,                   0,              0.0007,              0.0007,              0.0937
                   1,            0.087211,            0.026852,                   0,                   0,                   0,                   0,                   0,            0.082855,            0.027319,                   0,           0.0014926,           0.0014926,            0.086493
                   2,            0.092611,            0.024735,                   0,                   0,                   0,                   0,                   0,            0.085229,            0.025521,                   0,           0.0022772,           0.0022772,            0.079277
                   3,             0.10246,            0.023386,                   0,           0.0045939,            0.027778,            0.000225,          4.5001e-05,            0.083011,            0.022727,                   0,            0.003054,            0.003054,            0.072054
                   4,            0.082005,            0.021159,                   0,                   0,                   0,                   0,                   0,            0.079673,            0.022697,                   0,           0.0038228,           0.0038228,            0.064823
                   5,            0.088835,            0.020357,                   0,                   0,                   0,                   0,                   0,            0.076698,            0.021318,                   0,           0.0045837,           0.0045837,            0.057584
                   6,            0.088761,             0.01805,                   0,                   0,                   0,                   0,                   0,            0.074975,             0.02077,                   0,           0.0053367,           0.0053367,            0.050337
                   7,            0.081224,            0.016465,                   0,                   0,                   0,                   0,                   0,            0.072689,            0.020234,                   0,           0.0060817,           0.0060817,            0.043082
                   8,             0.08324,            0.016192,                   0,                   0,                   0,                   0,                   0,            0.071645,            0.019278,                   0,           0.0068188,           0.0068188,            0.035819
                   9,            0.074982,            0.015518,                   0,          0.00044577,            0.027778,          0.00022321,          3.3786e-05,            0.069689,            0.019472,                   0,           0.0075481,           0.0075481,            0.028548
                  10,            0.079988,            0.014292,                   0,                   0,                   0,                   0,                   0,            0.070099,            0.018495,                   0,           0.0082693,           0.0082693,            0.021269
                  11,            0.078621,            0.013397,                   0,                   0,                   0,                   0,                   0,            0.068652,            0.018219,                   0,           0.0089827,           0.0089827,            0.013983
                  12,            0.072639,            0.012067,                   0,                   0,                   0,                   0,                   0,            0.068652,            0.018219,                   0,            0.009406,            0.009406,            0.009406
