               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11712,            0.031208,                   0,           0.0039319,           0.0069444,          0.00038529,          7.1307e-05,             0.10326,            0.028979,                   0,              0.0023,              0.0023,              0.0793
                   1,            0.099599,            0.026789,                   0,            0.071139,             0.13696,            0.028823,           0.0067956,            0.082398,            0.028297,                   0,           0.0046767,           0.0046767,            0.057677
                   2,            0.084209,            0.025379,                   0,             0.21878,             0.28125,              0.1422,            0.027702,            0.075702,            0.023106,                   0,           0.0070297,           0.0070297,             0.03603
                   3,            0.077089,            0.023587,                   0,             0.13401,             0.21528,            0.085664,            0.024613,            0.076002,            0.022585,                   0,           0.0093589,           0.0093589,            0.014359
                   4,            0.070548,             0.02589,                   0,             0.14903,             0.39236,             0.11179,            0.028573,            0.073929,            0.020137,                   0,            0.009802,            0.009802,            0.009802
                   5,             0.06281,            0.023354,                   0,             0.65431,             0.46875,             0.51957,             0.16924,            0.060409,            0.020924,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.059638,            0.022113,                   0,              0.8164,             0.45486,             0.57763,             0.17159,            0.064948,            0.021971,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.056197,             0.02067,                   0,             0.58272,             0.65944,              0.6294,             0.27866,            0.054249,            0.021105,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.056182,            0.019114,                   0,             0.77533,             0.60069,             0.69251,             0.26631,            0.049137,            0.022048,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.051078,            0.019362,                   0,             0.90792,             0.52083,             0.67279,             0.18166,            0.059419,            0.017206,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.049008,            0.017662,                   0,             0.84076,             0.64163,             0.73228,             0.25568,            0.050073,            0.016877,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.050645,            0.017402,                   0,             0.66724,             0.49653,             0.52598,             0.18334,            0.056775,            0.017076,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.047157,            0.017666,                   0,             0.84513,             0.64583,             0.72873,             0.30451,            0.051088,             0.01646,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.050532,            0.016743,                   0,             0.79539,             0.62089,             0.64234,             0.22007,            0.056022,            0.016944,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.048686,            0.015879,                   0,             0.72955,             0.50694,             0.50976,             0.10643,            0.071276,            0.018078,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.044424,            0.016408,                   0,             0.73882,             0.63889,             0.61042,             0.15969,            0.058595,            0.017269,                   0,            0.009307,            0.009307,            0.009307
                  16,             0.04269,            0.015299,                   0,             0.87095,             0.74985,             0.78823,             0.36812,            0.044658,            0.015748,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.042628,              0.0172,                   0,             0.83686,             0.65904,             0.70914,             0.30835,            0.048622,            0.017069,                   0,            0.009208,            0.009208,            0.009208
                  18,             0.04278,            0.015642,                   0,             0.78142,             0.72222,             0.72423,             0.30584,            0.046136,            0.016804,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.043101,            0.014693,                   0,             0.90948,             0.70139,             0.79177,             0.25838,            0.053754,            0.014488,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.040041,            0.015654,                   0,             0.78582,             0.70486,             0.73715,             0.29747,             0.04896,            0.015273,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.040737,            0.014275,                   0,             0.79264,             0.75656,             0.77966,             0.33527,            0.044511,            0.015316,                   0,             0.00901,             0.00901,             0.00901
                  22,             0.04366,            0.014547,                   0,             0.86577,             0.70139,             0.78329,             0.35381,            0.052396,            0.015007,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.040699,            0.014014,                   0,             0.84838,             0.66667,             0.72892,             0.27875,            0.048166,            0.016526,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.041992,            0.013813,                   0,             0.79393,             0.68403,             0.71394,             0.33122,            0.044929,            0.016512,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.037358,            0.013481,                   0,             0.88547,             0.67361,             0.73166,             0.28999,            0.047469,            0.014807,                   0,            0.008812,            0.008812,            0.008812
