               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085903,            0.020679,                   0,                   0,                   0,                   0,                   0,            0.036589,            0.014836,                   0,           0.0032716,           0.0032716,            0.070556
                   1,            0.081048,            0.011849,                   0,                   0,                   0,                   0,                   0,            0.035207,           0.0098944,                   0,           0.0065863,           0.0065863,            0.040537
                   2,            0.075586,            0.010468,                   0,          0.00032604,           0.0045455,          0.00016037,          3.5973e-05,            0.029297,            0.010715,                   0,            0.009882,            0.009882,            0.010499
                   3,             0.06836,            0.012348,                   0,            0.022341,            0.036364,           0.0068007,           0.0014549,            0.027725,            0.010124,                   0,           0.0099151,           0.0099151,           0.0099151
                   4,            0.059595,            0.011363,                   0,            0.038295,             0.12727,            0.012768,           0.0021586,             0.03066,           0.0081449,                   0,           0.0099151,           0.0099151,           0.0099151
                   5,            0.060048,            0.012743,                   0,             0.14634,             0.16818,            0.068604,            0.012245,             0.02609,           0.0091751,                   0,           0.0098869,           0.0098869,           0.0098869
                   6,            0.058626,            0.012003,                   0,             0.20449,             0.25455,             0.12939,            0.022151,            0.024905,           0.0090322,                   0,           0.0098586,           0.0098586,           0.0098586
                   7,             0.05822,            0.011494,                   0,             0.27738,             0.28636,             0.18239,            0.044016,            0.022741,           0.0082175,                   0,           0.0098303,           0.0098303,           0.0098303
                   8,            0.057018,            0.011167,                   0,             0.18058,             0.24942,             0.11024,            0.020426,            0.025586,           0.0073199,                   0,            0.009802,            0.009802,            0.009802
                   9,            0.055913,            0.010726,                   0,             0.31148,             0.37014,             0.20947,            0.045979,            0.022457,           0.0073259,                   0,           0.0097737,           0.0097737,           0.0097737
                  10,             0.05449,            0.010564,                   0,             0.32915,             0.30455,              0.2094,            0.045272,            0.022921,           0.0071974,                   0,           0.0097454,           0.0097454,           0.0097454
                  11,            0.055408,           0.0097731,                   0,             0.38862,             0.42273,             0.28899,            0.070609,            0.021622,           0.0072467,                   0,           0.0097171,           0.0097171,           0.0097171
                  12,             0.05242,           0.0093339,                   0,             0.31343,             0.38597,             0.23864,            0.046088,            0.022701,           0.0071523,                   0,           0.0096889,           0.0096889,           0.0096889
                  13,            0.052966,           0.0098393,                   0,             0.36691,             0.42727,             0.28105,            0.051889,            0.022361,           0.0072619,                   0,           0.0096606,           0.0096606,           0.0096606
