               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096068,            0.022855,                   0,          6.5051e-05,           0.0090909,          3.0115e-05,          4.5189e-06,            0.076612,            0.017884,                   0,           0.0032716,           0.0032716,            0.070556
                   1,            0.081939,            0.015182,                   0,          0.00026992,           0.0045455,          3.1797e-05,          1.1418e-05,            0.065257,             0.01654,                   0,           0.0065863,           0.0065863,            0.040537
                   2,            0.074729,             0.01519,                   0,            0.013924,                 0.2,           0.0073736,           0.0014482,            0.056668,             0.01677,                   0,            0.009882,            0.009882,            0.010499
                   3,            0.072422,            0.015459,                   0,            0.022024,                 0.2,            0.012635,           0.0028063,            0.054944,             0.01642,                   0,           0.0099151,           0.0099151,           0.0099151
                   4,             0.06074,            0.015893,                   0,             0.22346,             0.22727,             0.11028,            0.022956,             0.04754,            0.017259,                   0,           0.0099151,           0.0099151,           0.0099151
                   5,             0.06452,            0.014792,                   0,             0.15356,                 0.4,             0.10236,            0.020534,             0.04649,            0.015106,                   0,           0.0098869,           0.0098869,           0.0098869
                   6,            0.060358,            0.014934,                   0,             0.31933,             0.37273,             0.19758,            0.045494,            0.048893,            0.013864,                   0,           0.0098586,           0.0098586,           0.0098586
                   7,             0.05974,            0.013947,                   0,             0.49624,                0.35,             0.29474,            0.075748,            0.044766,             0.01426,                   0,           0.0098303,           0.0098303,           0.0098303
                   8,            0.058878,            0.014189,                   0,             0.44245,             0.40909,               0.346,             0.08563,            0.043834,             0.01413,                   0,            0.009802,            0.009802,            0.009802
                   9,            0.056051,            0.014211,                   0,             0.62735,             0.43636,             0.42736,             0.09472,            0.041332,            0.013324,                   0,           0.0097737,           0.0097737,           0.0097737
                  10,             0.05293,            0.013045,                   0,             0.43394,             0.41814,              0.3392,            0.071753,             0.04435,            0.012605,                   0,           0.0097454,           0.0097454,           0.0097454
                  11,            0.054954,            0.013476,                   0,              0.5955,             0.36805,             0.36043,            0.085177,            0.043296,            0.013067,                   0,           0.0097171,           0.0097171,           0.0097171
                  12,            0.051853,            0.012339,                   0,             0.51356,             0.48636,             0.41642,             0.12188,            0.040903,            0.012619,                   0,           0.0096889,           0.0096889,           0.0096889
                  13,            0.054687,            0.012733,                   0,             0.60689,             0.57542,             0.51462,             0.14252,             0.04117,            0.011942,                   0,           0.0096606,           0.0096606,           0.0096606
                  14,              0.0576,             0.01255,                   0,             0.51479,             0.54012,             0.43922,             0.11859,             0.04032,            0.012013,                   0,           0.0096323,           0.0096323,           0.0096323
                  15,            0.050035,            0.013233,                   0,             0.55757,             0.54993,              0.4584,             0.12751,            0.040653,            0.011824,                   0,            0.009604,            0.009604,            0.009604
                  16,            0.051217,             0.01239,                   0,             0.69264,             0.55455,             0.54316,             0.16817,            0.038408,            0.012102,                   0,           0.0095757,           0.0095757,           0.0095757
                  17,            0.051984,             0.01271,                   0,             0.66893,             0.58182,             0.55003,             0.17405,            0.038764,            0.011526,                   0,           0.0095474,           0.0095474,           0.0095474
                  18,            0.050679,            0.012805,                   0,             0.70977,             0.58182,             0.56437,             0.17988,            0.037617,            0.011132,                   0,           0.0095191,           0.0095191,           0.0095191
                  19,             0.05142,            0.012361,                   0,             0.69832,             0.61364,             0.59327,             0.18386,            0.038133,            0.010881,                   0,           0.0094909,           0.0094909,           0.0094909
                  20,            0.051153,            0.012215,                   0,             0.58925,             0.59991,             0.52582,             0.18896,             0.03862,            0.010547,                   0,           0.0094626,           0.0094626,           0.0094626
                  21,            0.048273,            0.011911,                   0,             0.58652,             0.54545,             0.49629,             0.14383,            0.039652,            0.010958,                   0,           0.0094343,           0.0094343,           0.0094343
                  22,            0.049468,            0.012231,                   0,             0.62375,             0.62727,             0.55119,              0.1718,            0.038725,            0.010793,                   0,            0.009406,            0.009406,            0.009406
                  23,             0.04887,            0.011897,                   0,             0.77048,             0.59509,             0.60451,             0.19957,            0.037252,            0.010756,                   0,           0.0093777,           0.0093777,           0.0093777
                  24,             0.04825,            0.012655,                   0,             0.73479,             0.60449,             0.59596,             0.20226,            0.035852,            0.010808,                   0,           0.0093494,           0.0093494,           0.0093494
