               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085922,            0.028724,                   0,                   0,                   0,                   0,                   0,            0.083055,            0.029374,                   0,              0.0005,              0.0005,              0.0955
                   1,             0.08767,             0.02717,                   0,                   0,                   0,                   0,                   0,            0.083193,            0.027133,                   0,           0.0010969,           0.0010969,            0.090097
                   2,            0.095158,            0.024532,                   0,                   0,                   0,                   0,                   0,            0.080956,            0.025617,                   0,           0.0016904,           0.0016904,             0.08469
                   3,             0.10929,            0.023135,                   0,                   0,                   0,                   0,                   0,            0.079363,            0.024571,                   0,           0.0022805,           0.0022805,             0.07928
                   4,            0.083582,            0.021739,                   0,                   0,                   0,                   0,                   0,            0.079426,            0.023029,                   0,           0.0028672,           0.0028672,            0.073867
                   5,            0.090631,            0.021123,                   0,                   0,                   0,                   0,                   0,            0.079029,             0.02148,                   0,           0.0034505,           0.0034505,             0.06845
                   6,            0.082247,            0.018515,                   0,                   0,                   0,                   0,                   0,            0.076292,             0.02037,                   0,           0.0040304,           0.0040304,             0.06303
                   7,             0.09739,            0.017893,                   0,                   0,                   0,                   0,                   0,            0.074587,            0.019727,                   0,           0.0046069,           0.0046069,            0.057607
                   8,            0.085757,            0.015688,                   0,                   0,                   0,                   0,                   0,            0.074023,            0.018872,                   0,           0.0051801,           0.0051801,             0.05218
                   9,            0.078515,             0.01576,                   0,            0.024514,            0.027778,          0.00079629,          0.00015926,            0.074532,            0.017266,                   0,           0.0057498,           0.0057498,             0.04675
                  10,            0.081212,             0.01472,                   0,                   0,                   0,                   0,                   0,            0.069872,            0.018423,                   0,           0.0063161,           0.0063161,            0.041316
                  11,             0.08294,            0.014445,                   0,                   0,                   0,                   0,                   0,            0.066885,            0.018762,                   0,           0.0068791,           0.0068791,            0.035879
                  12,            0.076096,            0.012564,                   0,                   0,                   0,                   0,                   0,            0.067737,            0.018044,                   0,           0.0074386,           0.0074386,            0.030439
                  13,            0.089535,            0.013857,                   0,                   0,                   0,                   0,                   0,            0.065565,             0.01837,                   0,           0.0079948,           0.0079948,            0.024995
                  14,            0.079837,            0.014129,                   0,                   0,                   0,                   0,                   0,            0.065565,             0.01837,                   0,           0.0085476,           0.0085476,            0.019548
                  15,            0.085451,            0.013532,                   0,          0.00056082,            0.027778,          0.00012386,          2.4771e-05,            0.065014,            0.018208,                   0,           0.0090969,           0.0090969,            0.014097
                  16,            0.081833,            0.011558,                   0,                   0,                   0,                   0,                   0,            0.064541,            0.018281,                   0,           0.0095474,           0.0095474,           0.0095474
                  17,            0.070444,            0.012792,                   0,          0.00041667,            0.055556,          0.00022205,          2.2205e-05,            0.062121,            0.018641,                   0,           0.0095474,           0.0095474,           0.0095474
                  18,            0.075865,            0.014118,                   0,          0.00041667,            0.055556,          0.00022205,          2.2205e-05,            0.062121,            0.018641,                   0,           0.0095191,           0.0095191,           0.0095191
                  19,            0.073374,            0.014199,                   0,           0.0014947,             0.16667,          0.00083678,          0.00018791,            0.061952,            0.018342,                   0,           0.0094909,           0.0094909,           0.0094909
